Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
2->512->4->1,RandReLU,0.276572,0.023995526134967804,0.023673564195632935,0.0003219619393348694,274.2980806827545,278.05765771865845
Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
2->512->4->1,ReLU6,0.276572,0.06208188459277153,0.03148327395319939,0.030598610639572144,452.6217770576477,482.35946583747864
2->512->4->1,Softplus,0.276572,0.013617508113384247,0.048971567302942276,-0.03535405918955803,462.08197021484375,434.92610692977905
Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
2->512->8->1,ReLU,0.284828,0.010995539836585522,0.01115924958139658,-0.00016370974481105804,854.4806070327759,1314.6889777183533
2->512->8->1,Softplus,0.284828,0.007569524459540844,0.013204752467572689,-0.005635228008031845,473.64986181259155,449.12958812713623
2->512->16->1,ReLU6,0.30134,0.009376317262649536,0.008868461474776268,0.0005078557878732681,471.44818472862244,445.0585000514984
2->512->16->1,Softplus,0.30134,0.006052781827747822,0.005754566751420498,0.0002982150763273239,489.16198205947876,446.420832157135
2->512->32->1,Softplus,0.334364,0.003658048342913389,0.005010506138205528,-0.001352457795292139,502.65426111221313,472.3646819591522
2->512->64->1,Softplus,0.400412,0.003227967768907547,0.003821038641035557,-0.0005930708721280098,537.8182473182678,497.9844591617584
2->512->64->1,Tanh,0.400412,0.00736728310585022,0.0030769528821110725,0.004290330223739147,529.1867172718048,490.3729422092438
2->512->128->1,Softplus,0.532508,0.00291341170668602,0.0034574847668409348,-0.0005440730601549149,636.4620089530945,594.9272930622101
2->512->128->1,Tanh,0.532508,0.005419543012976646,0.0025989972054958344,0.002820545807480812,622.5618500709534,580.7057888507843
2->512->256->1,Softplus,0.7967,0.003676642430946231,0.0032954507041722536,0.0003811917267739773,835.6995048522949,726.6161270141602
2->512->256->1,Tanh,0.7967,0.00417645089328289,0.0020839532371610403,0.00209249765612185,818.6643972396851,728.5948300361633
2->512->512->1,Softplus,1.325084,0.0018850124906748533,0.0032893430907279253,-0.001404330600053072,1252.9335670471191,1001.1446027755737
2->512->512->1,Tanh,1.325084,0.002985891653224826,0.001592937740497291,0.0013929539127275348,1168.3898620605469,995.4779250621796
2->512->1024->1,Softplus,2.381852,0.002911450807005167,0.0031599225476384163,-0.0002484717406332493,2055.462026834488,1586.9099020957947
2->512->1024->1,Tanh,2.381852,0.002783911069855094,0.0012437088880687952,0.0015402021817862988,1997.6509041786194,1516.0466470718384
2->512->4->1,GELU,0.276572,0.027614610269665718,0.012715707533061504,0.014898902736604214,468.77131700515747,451.4548361301422
2->512->8->1,GELU,0.284828,0.10228430479764938,0.007210669573396444,0.09507363522425294,478.3321850299835,447.65179800987244
2->512->16->1,GELU,0.30134,0.012942394241690636,0.0029756983276456594,0.009966695914044976,476.9607300758362,455.56689381599426
2->512->32->1,GELU,0.334364,0.005223301704972982,0.0022641662508249283,0.002959135454148054,507.5554029941559,471.4385230541229
2->512->64->1,GELU,0.400412,0.06812865287065506,0.001609612489119172,0.06651904038153589,563.9458930492401,506.0639340877533
2->512->128->1,GELU,0.532508,0.13876228034496307,0.0012257406488060951,0.13753653969615698,824.0380108356476,570.8756880760193
2->512->256->1,GELU,0.7967,0.05196669325232506,0.0009272510069422424,0.051039442245382816,815.5828857421875,707.1170182228088
2->512->512->1,GELU,1.325084,0.10425063967704773,0.0008480658289045095,0.10340257384814322,1210.935940027237,955.8188149929047
2->512->1024->1,GELU,2.381852,0.009564805775880814,0.0006556081352755427,0.00890919764060527,1942.777055978775,1480.0377221107483
Dimensions,Activation,Total Memory Size (MB),Final NAU Loss,Final Baseline Loss,NAU-Baseline,NAU Training Time (sec),Baseline Training Time (sec)
