act,final nau loss,final nau_extrap loss,final base loss,final base_extrap loss
GELU,0.00203789584338665,0.1147516518831253,0.000159166069352068,0.020970294252038002
ReLU,0.015221652574837208,0.3418727517127991,0.00031005474738776684,0.026735911145806313
Sigmoid,0.004621353466063738,0.10099759697914124,0.00621841149404645,0.19548265635967255
ELU,0.004666261374950409,0.5925490260124207,0.0011791029246523976,0.08029211312532425
Tanh,0.0010416151490062475,0.2871701419353485,0.0009381120325997472,0.0785827487707138
ReLU6,0.015221652574837208,0.3418727517127991,0.00031005474738776684,0.026735911145806313
LeakyReLU,0.009395754896104336,0.11024662852287292,0.0003559725300874561,0.02817537821829319
RandReLU,0.0049257343634963036,0.4106624126434326,0.0005252097034826875,0.02706701122224331
SELU,0.004441400989890099,1.1735048294067383,0.0024071168154478073,0.23765359818935394
CELU,0.004666261374950409,0.5925490260124207,0.0011791029246523976,0.08029211312532425
Softplus,0.0023845182731747627,0.2200871855020523,0.005136880092322826,0.5783416032791138
Hardshrink,0.019768860191106796,1.3813214302062988,0.020794803276658058,0.06019522249698639
Hardsigmoid,0.004872951190918684,0.11244359612464905,0.008439949713647366,0.1794191151857376
Hardtanh,0.0015483384486287832,0.5391534566879272,0.0018080975860357285,0.11712329089641571
Hardswish,0.0006179265328682959,0.09659832715988159,0.000330245413351804,0.0220378115773201
Tanhshrink,0.00016787239292170852,0.02754415012896061,0.00027835043147206306,0.020615367218852043
GELU,0.00203789584338665,0.1147516518831253,0.000159166069352068,0.020970294252038002
ReLU,0.015221652574837208,0.3418727517127991,0.00031005474738776684,0.026735911145806313
Sigmoid,0.004621353466063738,0.10099759697914124,0.00621841149404645,0.19548265635967255
ELU,0.004666261374950409,0.5925490260124207,0.0011791029246523976,0.08029211312532425
